Animal ID,Intake Type,In Date,Pet name,Animal Type,Pet Age,Pet Size,Color,Breed,Sex,URL Link ,Crossing
A516230,STRAY,02/24/2024,*BART,DOG,6 YEARS,MED,BROWN,LABRADOR RETR / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A516230&location=MONT,"10500 DEMOCRACY BLVD, POTOMAC MD 20854"
A518269,STRAY,04/21/2024,*BUTTERSCOTCH,OTHER,4 MONTHS,MED,TAN,AMERICAN SABLE,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A518269&location=MONT,"4900 ERTTER DR, ROCKVILLE MD 20852"
A460627,STRAY,03/25/2024,NIKO,DOG,6 YEARS,MED,WHITE / BROWN,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A460627&location=MONT,"100 CEDAR AVE, GAITHERSBURG MD 20877"
A514036,STRAY,12/23/2023,*SQUEEGIE,CAT,3 YEARS,MED,BROWN / BLACK,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A514036&location=MONT,"15000 DINSDALE DR, SILVER SPRING MD 20906"
A518262,OWNER SUR,04/21/2024,*LIME,BIRD,NO AGE,MED,GREEN / YELLOW,PARAKEET,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A518262&location=MONT,
A518267,OWNER SUR,04/21/2024,*MR. GIGGLES,BIRD,NO AGE,MED,GREEN / YELLOW,PARAKEET,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A518267&location=MONT,
A518128,STRAY,04/17/2024,*TUNNOCK,OTHER,14 WEEKS,SMALL,BROWN / WHITE,GUINEA PIG,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A518128&location=MONT,"20400 SAWGRASS DR, MONTGOMERY VILLAGE MD 20886"
A518438,STRAY,04/25/2024,*PETRA,OTHER,1 YEAR 1 MONTH,MED,TAN,RABBIT SH,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A518438&location=MONT,"5000 BATTERY LN, BETHESDA MD 20814"
A517791,OWNER SUR,04/07/2024,CINNAMON,OTHER,3 YEARS,LARGE,BROWN,GUINEA PIG,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A517791&location=MONT,
A517790,OWNER SUR,04/07/2024,PEPPER,OTHER,3 YEARS,LARGE,GRAY,GUINEA PIG,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A517790&location=MONT,
A517846,OWNER SUR,04/09/2024,*SASI,CAT,3 YEARS,MED,GRAY TAB,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A517846&location=MONT,
A518575,OWNER SUR,04/29/2024,SLIM,CAT,3 YEARS,SMALL,BRN TABBY,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A518575&location=MONT,
A518537,OWNER SUR,04/28/2024,MOUSE,OTHER,1 YEAR 7 MONTHS,SMALL,BROWN,GERBIL,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A518537&location=MONT,
A518008,OWNER SUR,04/14/2024,*HONEYBUN,OTHER,1 YEAR 1 MONTH,MED,AGOUTI,RABBIT SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A518008&location=MONT,
A517479,BOARDING,03/29/2024,*CLARK,BIRD,1 YEAR 1 MONTH,SMALL,WHITE / BLUE,PARAKEET,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A517479&location=MONT,
A518006,OWNER SUR,04/14/2024,*BREEZE,OTHER,1 YEAR 1 MONTH,MED,BLACK,RABBIT SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A518006&location=MONT,
A517013,OWNER SUR,03/16/2024,JUSTIN B,BIRD,8 MONTHS,MED,BROWN,BANTAM,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A517013&location=MONT,
A476277,RETURN,04/15/2024,ARABELLA,DOG,3 YEARS,MED,GRAY / WHITE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A476277&location=MONT,
A518499,OWNER SUR,04/27/2024,DJ,OTHER,NO AGE,SMALL,GREEN,TURTLE / REDEARED SLIDER,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A518499&location=MONT,
A517598,EUTH REQ,04/02/2024,*DOTTIE,DOG,1 YEAR 4 MONTHS,MED,WHITE / GRAY,AM PIT BULL TER / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A517598&location=MONT,
A496669,EUTH REQ,03/31/2024,ICE'AH,DOG,1 YEAR 11 MONTHS,PUPPY,GRAY,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A496669&location=MONT,
A441108,OWNER SUR,03/30/2024,GREAT CATSBY,CAT,5 YEARS,MED,BRN TABBY,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A441108&location=MONT,
A506618,FOSTER,11/30/2023,*SAILOR MERCURY,DOG,1 YEAR,PUPPY,TAN,AM PIT BULL TER / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A506618&location=MONT,
A513757,FOSTER,04/15/2024,*GLEN,CAT,8 MONTHS,SMALL,BLACK,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A513757&location=MONT,
A518313,OWNER SUR,04/22/2024,GINGER,OTHER,1 YEAR 1 MONTH,MED,ORANGE / WHITE,GUINEA PIG,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A518313&location=MONT,
A518562,OWNER SUR,04/29/2024,*SWEETTEA,OTHER,5 YEARS,SMALL,YELLOW,LIZARD / GECKO,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A518562&location=MONT,
A518271,OWNER SUR,04/21/2024,COWBOY,OTHER,3 YEARS,MED,BLACK / WHITE,GUINEA PIG,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A518271&location=MONT,
A518563,OWNER SUR,04/29/2024,*LEMONADE,OTHER,5 YEARS,SMALL,YELLOW,LIZARD / GECKO,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A518563&location=MONT,
A444157,OWNER SUR,01/28/2024,YERTLE,OTHER,7 YEARS,SMALL,GREEN,TURTLE / REDEARED SLIDER,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A444157&location=MONT,
A517012,OWNER SUR,03/16/2024,CORY,BIRD,8 MONTHS,SMALL,RED,BANTAM,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A517012&location=MONT,
A504734,FOSTER,04/05/2024,SARABI,DOG,6 YEARS,LARGE,WHITE / BROWN,AM PIT BULL TER / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A504734&location=MONT,
A517857,OWNER SUR,04/09/2024,SYLVESTER,CAT,11 MONTHS,MED,BLACK / WHITE,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A517857&location=MONT,
A517910,FOSTER,04/20/2024,*HANLEY,DOG,1 YEAR 1 MONTH,LARGE,WHITE / BLACK,ALASKAN HUSKY,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A517910&location=MONT,
A518539,OWNER SUR,04/28/2024,PICHU,OTHER,1 YEAR 7 MONTHS,SMALL,WHITE,GERBIL,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A518539&location=MONT,
A508984,FOSTER,04/04/2024,LUIGI,DOG,1 YEAR 9 MONTHS,LARGE,BLACK / WHITE,ALASK MALAMUTE,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A508984&location=MONT,
A478355,OWNER SUR,04/13/2024,T-REX,DOG,7 YEARS,LARGE,BROWN,AM PIT BULL TER / LABRADOR RETR,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A478355&location=MONT,
A517306,RETURN,04/18/2024,*CARL,CAT,2 YEARS,SMALL,ORANGE / WHITE,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A517306&location=MONT,
A517713,OWNER SUR,04/05/2024,BONNIE,DOG,6 YEARS,MED,WHITE / BROWN,BOXER / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A517713&location=MONT,
A515664,FOSTER,04/30/2024,*KIMMIE,DOG,3 YEARS,MED,BROWN / WHITE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A515664&location=MONT,
